chunks,redecodes,runtime,redecode_ratio,tiny_ratio,base_ratio,small_chunks,base_chunks,large_chunks,tiny_usage,base_usage,audio_type,tiny_selected,base_selected,small_chunk_used,base_chunk_used,large_chunk_used,avg_confidence,avg_conf_gain,file
36,3,64.05551791191101,0.08333333333333333,0.16666666666666666,0.8333333333333334,1,35,0,6,30,Array,6,30,1,35,0,-0.6833002442217182,0.19498028698059425,IS1000a.Array1-01.wav
36,5,93.83719944953918,0.1388888888888889,0.0,1.0,0,36,0,0,36,Array,0,36,0,36,0,-0.6867108916503403,0.44677924147282616,IS1000a.Array1-02.wav
36,6,113.15334129333496,0.16666666666666666,0.19444444444444445,0.8055555555555556,1,33,2,7,29,Headset,7,29,1,33,2,-0.7602053017005883,0.36716483312673165,IS1000a.Headset-0.wav
36,6,76.53863382339478,0.16666666666666666,0.5,0.5,4,25,7,18,18,Headset,18,18,4,25,7,-0.7508349210758029,0.4366108514048912,IS1000a.Headset-1.wav
49,6,113.57220554351807,0.12244897959183673,0.4897959183673469,0.5102040816326531,0,38,11,24,25,Array,24,25,0,38,11,-0.6021151177329647,0.6208551884341249,IS1000b.Array1-01.wav
53,4,94.95772218704224,0.07547169811320754,0.03773584905660377,0.9622641509433962,0,53,0,2,51,Array,2,51,0,53,0,-0.5567870083093581,0.7350766763117138,IS1000b.Array1-02.wav
51,6,173.58373594284058,0.11764705882352941,0.8431372549019608,0.1568627450980392,5,32,14,43,8,Headset,43,8,5,32,14,-0.6480235987116063,0.5519249825596144,IS1000b.Headset-0.wav
53,6,91.46738505363464,0.11320754716981132,0.4716981132075472,0.5283018867924528,7,35,11,25,28,Headset,25,28,7,35,11,-0.7254420525767646,0.0673114125130108,IS1000b.Headset-1.wav
46,3,68.25314497947693,0.06521739130434782,0.41304347826086957,0.5869565217391305,1,38,7,19,27,Array,19,27,1,38,7,-0.5708816368739312,0.9427110082827689,IS1000c.Array1-01.wav
47,3,72.594722032547,0.06382978723404255,0.0425531914893617,0.9574468085106383,0,46,1,2,45,Array,2,45,0,46,1,-0.5768303024412611,0.49031397990028075,IS1000c.Array1-02.wav
44,1,70.17433476448059,0.022727272727272728,0.4090909090909091,0.5909090909090909,0,34,10,18,26,Headset,18,26,0,34,10,-0.49796984842086933,1.1168377995491028,IS1000c.Headset-0.wav
45,4,74.325026512146,0.08888888888888889,0.28888888888888886,0.7111111111111111,3,31,11,13,32,Headset,13,32,3,31,11,-0.6357699058718574,-0.012619752732534184,IS1000c.Headset-1.wav
